Data/Hora da ultima atualizacao: 24/02/2022 20:29:09
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
LF;CNHCAPITALBM;LF002100FB7;1;54454,55367000;54454,55;;NoMe;19:36:06;24/02/2022;#2022022414055361
LF;VOTORANTIMBM;LF0021007RJ;1;53394,32022000;53394,32;;NoMe;19:04:59;24/02/2022;#2022022414049226
DEB;ENTREVIAS;ENTV12;90;1205,58844600;108502,96;6,8000;Cetip Trader;18:57:37;24/02/2022;#84011474
DEB;ENTREVIAS;ENTV12;90;1205,58844600;108502,96;6,8000;Cetip Trader;18:57:37;24/02/2022;#84011473
DEB;ENTREVIAS;ENTV12;90;1205,58844600;108502,96;6,8000;Cetip Trader;18:57:37;24/02/2022;#84011475
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:36;24/02/2022;#84011471
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:36;24/02/2022;#84011469
DEB;ENTREVIAS;ENTV12;90;1205,58844600;108502,96;6,8000;Cetip Trader;18:57:36;24/02/2022;#84011472
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:36;24/02/2022;#84011470
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:36;24/02/2022;#84011468
DEB;ENTREVIAS;ENTV12;40;1205,58844600;48223,54;6,8000;Cetip Trader;18:57:35;24/02/2022;#84011463
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:35;24/02/2022;#84011465
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:35;24/02/2022;#84011464
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:35;24/02/2022;#84011466
DEB;ENTREVIAS;ENTV12;20;1205,58844600;24111,77;6,8000;Cetip Trader;18:57:35;24/02/2022;#84011467
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:34;24/02/2022;#84011462
DEB;ENTREVIAS;ENTV12;80;1205,58844600;96447,08;6,8000;Cetip Trader;18:57:34;24/02/2022;#84011454
DEB;ENTREVIAS;ENTV12;50;1205,58844600;60279,42;6,8000;Cetip Trader;18:57:34;24/02/2022;#84011455
